Shark,Direction_of_Swim,Depth,Raw_w_another_shark,Raw_Position_other_shark,Raw_Depth_other_shark,Second_other_Shark,Second_Shark_Position,Second_Shark_Depth,Third_Other_Shark,Third_Shark_Position,Third_Shark_Depth
YU,CW,S,AL,X,,TR,X,,,,
TA,CC,VD,YU,B>N,E,,,,,,
YU,CW,VD,TA,A>N,E,,,,,,
AL,CC,S,YU,B,L,,,,,,
TA,CC,D,TA,A,H,,,,,,
TA,CC,VD,AL,B>N,H,,,,,,
AL,CC,S,TA,A>N,L,,,,,,
TA,CC,S,YU,A,L,,,,,,
YU,CW,VD,TA,B,H,,,,,,
AL,CW,S,YU,,L,,,,,,
TR,CC,D,AL,B,,,,,,,
TA,CC,D,YU,CC,L,,,,,,
AL,CW,S,YU,,L,,,,,,
AL,CC,B,TR,X,L,,,,,,
TR,CC,VD,AL,X,H,,,,,,
AL,CC,S,TR,A,L,,,,,,
TR,CC,VD,AL,B,H,,,,,,
TA,CC,VD,YU,A,E,,,,,,
YU,CW,VD,TA,B,E,,,,,,
TR,CC,D,AL,,H,,,,,,
TA,CC,D,TR,B,,,,,,,
TA,CC,VD,AL,B>N>A,,TR,X,,,,
AL,CC,S,YU,B,L,,,,,,
AL,CC,S,TA,X,L,,,,,,
AL,CC,S,YU,B>N>A,L,,,,,,
AL,CW,S,TA,X,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CC,S,YU,B>N>A,L,,,,,,
TR,CC,B,YU,B,L,,,,,,
AL,CC,S,TA,B,,,,,,,
TA,CC,B,YU,B,,,,,,,
AL,CC,S,TA,X,,,,,,,
AL,CW,B,TA,B,L,,,,,,
AL,CC,S,YU,B,E,,,,,,
YU,CW,D,TA,B,H,,,,,,
TA,CC,B,YU,A,L,,,,,,
TA,CC,D,YU,A,E,,,,,,
TA,CC,B,AL,X,H,,,,,,
AL,CC,B,YU,B,L,,,,,,
TA,CC,D,AL,A,H,,,,,,
AL,CC,B,TA,B,L,,,,,,
TA,CC,B,YU,B,L,,,,,,
AL,CC,S,Nandi,,E,,,,,,
AL,CC,B,YU,A,E,,,,,,
YU,CW,S,AL,B,E,,,,,,
AL,CC,S,YU,A,L,,,,,,
TA,CC,B,YU,B,L,,,,,,
TR,CC,VD,YU,A,H,TA,N,L,,,
YU,CW,S,TA,CW,E,,,,,,
TR,CW,S,YU,B,E,,,,,,
TR,CC,S,AL,B,E,,,,,,
AL,CC,S,TR,A,E,,,,,,
TA,CW,D,AL,X,H,,,,,,
TR,CC,B,TA,A,E,YU,B,H,,,
YU,CW,B,TR,A,H,,,,,,
TR,CC,S,YU,B,L,,,,,,
AL,CC,S,TA,X,E,,,,,,
TR,CC,B,YU,A,E,,,,,,
YU,CW,B,TR,B,E,,,,,,
AL,CC,S,YU,A,E,,,,,,
TA,CC,S,AL,B,E,,,,,,
TA,CC,D,AL,B,H,,,,,,
AL,CC,S,TA,A,L,,,,,,
TR,CW,B,YU,A,H,,,,,,
TR,CC,VD,YU,A,H,,,,,,
AL,CC,S,YU,A,L,,,,,,
YU,CW,D,AL,B,H,,,,,,
AL,CC,S,TR,A,L,,,,,,
TR,CC,VD,AL,B,H,,,,,,
TR,CC,D,AL,A,H,,,,,,
AL,CC,B,TR,B,L,,,,,,
AL,CC,S,TA,B,L,,,,,,
TA,CC,VD,AL,A,H,,,,,,
TR,CW,B,TA,A,H,,,,,,
AL,CC,S,YU,N,L,TA,CW,L,,,
AL,CW,S,TA,B,E,,,,,,
AL,CW,S,TA,A,H,,,,,,
AL,CW,D,YU,A,H,,,,,,
AL,CC,S,TA,B,E,,,,,,
TA,CW,B,AL,A,E,,,,,,
AL,CC,S,YU,B>N,L,,,,,,
YU,CW,D,AL,A>N,H,,,,,,
YU,CW,S,AL,B,H,,,,,,
AL,CC,S,YU,A,L,,,,,,
TR,CC,D,AL,A,H,,,,,,
TR,CC,S,AL,B,E,YU,B,L,,,
YU,CW,D,TR,A,H,AL,A>B,H,,,
TA,CW,D,AL,X,H,,,,,,
AL,CC,S,TA,X,L,,,,,,
AL,CC,S,TR,X,L,,,,,,
AL,CW,S,TR,,L,,,,,,
AL,CW,S,TR,X,,,,,,,
YU,CW,B,TR,CW,E,,,,,,
TA,CC,B,YU,A,E,,,,,,
TR,CC,D,YU,CC,L,,,,,,
YU,CW,B,AL,A,H,,,,,,
AL,CC,S,YU,B,L,,,,,,
TA,CC,D,AL,B,E,,,,,,
TR,CW,S,YU,X,L,,,,,,
TA,CW,D,YU,X,A,,,,,,
YU,CW,B,TA,CW,L,,,,,,
TA,CW,S,TA,CW,E,,,,,,
YU,CW,B,AL,X,E,,,,,,
TA,CW,S,AL,B,E,TR,X,L,,,
TR,CC,B,YU,B,E,,,,,,
YU,CW,B,TR,A,E,,,,,,
AL,CW,S,YU,X,L,TR,X,OUT?,,,
AL,CW,S,TR,X,,,,,,,
AL,CW,S,TA,A,L,,,,,,
AL,CW,S,TR,,,,,,,,
AL,CC,S,TR,A,E,,,,,,
TA,CW,D,YU,X,,,,,,,
AL,CW,S,YU,X,L,,,,,,
YU,CW,B,TR,X,H,,,,,,
YU,CW,B,TA,A>B,H,,,,,,
TA,CW,S,YU,X,L,AL,X,E,,,
YU,CW,S,TA,X,H,,,,,,
TA,CW,D,TR,X,H,,,,,,
TR,CC,S,TA,X,L,,,,,,
TA,CW,B,TR,X,,,,,,,
AL,CW,S,YU,X,,,,,,,
AL,CW,S,TA,X,,,,,,,
YU,CW,S,TA,X,L,,,,,,
AL,CW,S,TA,N,L,,,,,,
TR,CW,B,YU,X,H,,,,,,
YU,CW,S,TR,X,L,,,,,,
YU,CW,S,TR,X,L,,,,,,
YU,CW,S,TA,X,E,,,,,,
AL,CC,S,TA,X,E,,,,,,
TR,CC,B,TA,X,H,,,,,,
YU,CW,S,AL,X,E,,,,,,
TR,CC,S,YU,B>A,E,,,,,,
TR,CW,D,YU,X,H,AL,X,H,,,
AL,CC,S,YU,B>A,E,TR,X,L,,,
TA,CW,D,AL,X,H,,,,,,
TR,CW,B,AL,X,H,,,,,,
YU,CW,S,AL,X,E,,,,,,
TR,CC,S,AL,X,E,,,,,,
TR,CC,S,AL,X,H,YU,B>A,E>H,,,
TR,CW,S,YU,X,E,,,,,,
YU,CW,B,TA,X,L,TR,A>N,E,,,
TA,CW,D,YU,X,H,TR,X,H,,,
YU,CW,S,TA,X,E,AL,X,E,,,
TR,CW,S,YU,X,E,,,,,,
YU,CW,D,AL,X,E,,,,,,
TA,CW,S,AL,X,E,,,,,,
AL,CC,S,TA,X,E,,,,,,
TR,CC,D,TA,X,E,,,,,,
TR,CC,B,YU,B>N>A,H,,,,,,
TR,CC,B,YU,B,L,,,,,,
AL,CC,S,YU,A,L,,,,,,
TR,CW,D,YU,X,E,,,,,,
AL,CC,S,TA,N,L,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,B,TA,B>A,L,,,,,,
TA,CW,B,AL,A>B,H,,,,,,
TA,CW,S,AL,B>A,L,,,,,,
AL,CW,S,TA,X,L,,,,,,
AL,CC,S,TR,X,L,,,,,,
AL,CC,B,TA,B,L,,,,,,
AL,CC,S,TA,B,L,,,,,,
TR,CC,D,TA,A,L,,,,,,
TA,CC,VD,AL,H,H,TR,B,H,,,
TR,CW,D,YU,X,H,,,,,,
YU,CW,B,TR,X,L,,,,,,
AL,CW,S,TA,A,L,YU,X,L,,,
TA,CW,VD,AL,B,H,,,,,,
YU,CW,D,AL,X,H,,,,,,
AL,CW,S,YU,X,L,,,,,,
TR,CC,VD,TA,X,H,,,,,,
TA,CW,D,TR,A,L,YU,X,H,,,
YU,CW,B,TA,X,L,,,,,,
TR,CW,VD,TA,B,H,,,,,,
YU,CW,D,TR,X,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
AL,CC,S,TR,B,L,,,,,,
AL,CC,S,YU,N,E,,,,,,
YU,CW,D,AL,A,H,,,,,,
TR,CC,B,TA,B>N>A,H,,,,,,
TR,CC,D,YU,A,H,,,,,,
YU,CW,B,TR,B,L,,,,,,
AL,CW,D,YU,X,H,,,,,,
TR,CC,D,AL,X,H,,,,,,
TR,CW,S,YU,X,H,,,,,,
TR,CW,B,YU,X,E,,,,,,
TA,CW,D,AL,X,H,,,,,,
AL,CC,B,TA,X,L,,,,,,
YU,CW,D,TA,X,H,,,,,,
TR,CC,B,TA,X,H,,,,,,
TA,CW,VD,TR,B,L,,,,,,
TR,CC,S,AL,X,E,,,,,,
AL,CW,B,YU,X,H,,,,,,
AL,CW,S,YU,X,L,,,,,,
YU,CW,B,TR,A,E,AL,X,E,,,
TA,CW,S,TR,N,D,,,,,,
TA,CC,S,YU,N,E,,,,,,
TR,CW,B,TA,B,L,,,,,,
TA,CW,VD,TR,A,S,,,,,,
AL,CW,B,TR,B,H,,,,,,
YU,CW,B,TR,A,E,,,,,,
AL,CW,S,TR,B,E,,,,,,
AL,CC,S,YU,A,L,,,,,,
YU,CW,S,YU,B,E,,,,,,
TA,CC,S,YU,A,H,AL,B,H,,,
TA,CC,D,YU,N,A,,,,,,
AL,CC,B,YU,B,H,,,,,,
TR,CC,B,AL,A,H,,,,,,
TA,CC,D,YU,A,H,,,,,,
AL,CC,S,YU,A,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CC,B,YU,B,H,,,,,,
TA,CW,S,YU,X,H,,,,,,
AL,CW,S,TR,X,L,,,,,,
TA,CW,B,AL,A,H,,,,,,
TA,CW,B,YU,B,E,,,,,,
AL,CW,S,YU,A,H,,,,,,
YU,CW,S,TR,CW,B,,,,,,
YU,CW,S,TR,CW,L,,,,,,
TA,CW,S,TR,B,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
TR,CW,D,TR,B,E,,,,,,
TR,CW,S,TA,A,L,,,,,,
TR,CC,B,YU,B,H,,,,,,
YU,CW,B,TR,A,H,,,,,,
TA,CW,B,YU,A,L,,,,,,
TR,CC,B,AL,A,H,,,,,,
TR,CC,VD,YU,A,H,,,,,,
AL,CW,S,YU,E,E,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TA,CW,B,AL,E,H,,,,,,
AL,CW,S,YU,X,H,,,,,,
TA,CW,S,TR,A,E,,,,,,
AL,CW,S,TA,A,E,,,,,,
TR,CW,B,YU,X,H,,,,,,
AL,CW,S,YU,X,H,,,,,,
AL,CW,S,YU,X,D,,,,,,
TA,CW,D,YU,X,L,,,,,,
AL,CW,S,TR,X,YES,,,,,,
TA,CW,S,YU,X,YES,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TR,CW,S,YU,X,E,,,,,,
TA,CC,B,AL,B>N>A,H,,,,,,
TA,CC,S,TR,X,E,,,,,,
TA,CW,B,YU,X,H,,,,,,
YU,CW,S,TA,X,L,,,,,,
TR,CW,D,TA,X,H,,,,,,
TA,CW,B,AL,A,H,,,,,,
AL,CW,S,TA,B,L,,,,,,
TA,CW,S,YU,X,H,,,,,,
YU,CW,S,TR,X,E,,,,,,
AL,CW,S,YU,X,E,TR,X,E,,,
AL,CC,S,YU,B>N,L,,,,,,
TA,CC,S,YU,A,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
AL,CW,S,TR,N>A,H,,,,,,
YU,CW,S,TA,X,E,,,,,,
TA,CW,B,TR,B>N,H,,,,,,
TA,CC,S,YU,N,,,,,,,
YU,CW,B,TA,X,L,,,,,,
YU,CW,B,AL,X,H,,,,,,
YU,CW,D,AL,X,L,,,,,,
YU,CW,B,TA,X,C,,,,,,
YU,CW,B,TA,X,C,,,,,,
YU,CW,D,TR,X,L,,,,,,
YU,CW,D,AL,X,L,,,,,,
TR,CC,B,AL,X,L,,,,,,
YU,CW,B,AL,X,L,,,,,,
AL,CW,S,YU,X,L,,,,,,
AL,CW,S,YU,X,,,,,,,
TA,CW,S,AL,B,,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TA,X,,,,,,,
AL,CW,S,TR,YES,L,,,,,,
AL,CW,S,TR,YES,L,,,,,,
TR,CW,S,YU,X,,,,,,,
TA,CW,S,YU,X,,,,,,,
AL,CW,S,TR,B,E,,,,,,
TA,CW,S,YU,X,,,,,,,
AL,CW,S,TA,A,,,,,,,
AL,CC,S,YU,B,E,,,,,,
TA,CC,S,AL,A,E,,,,,,
AL,CC,D,YU,B,L,,,,,,
TR,CW,S,YU,X,,,,,,,
TR,CC,S,AL,A,H,,,,,,
AL,CW,S,TA,X,,TR,X,,,,
TA,CC,D,AL,A,H,,,,,,
YU,CW,S,TA,A,H,,,,,,
TA,CW,S,TR,E,,YU,,,,,
AL,CC,S,YU,N,E,,,,,,
YU,CW,S,AL,A,E,,,,,,
TA,CC,D,AL,A,H,,,,,,
TR,CC,S,YU,N,E,,,,,,
TA,CC,B,TR,X,H,,,,,,
YU,CW,S,AL,X,E,,,,,,
TA,CW,S,AL,X,E,,,,,,
AL,CC,S,TA,X,E,,,,,,
YU,CW,S,TA,X,E,,,,,,
TA,CC,S,YU,B>N,H,,,,,,
TR,CC,B,YU,B>N>A,H,,,,,,
TR,CW,S,YU,X,E,AL,X,E,,,
AL,CW,S,TA,X,E,,,,,,
AL,CC,S,YU,B>N>A,E,,,,,,
YU,CW,S,TR,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CW,S,AL,X,E,,,,,,
TR,CC,B,YU,A,H,,,,,,
YU,CW,S,TR,X,L,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,S,TA,B,E,,,,,,
YU,CW,S,AL,X,E,,,,,,
YU,CW,S,AL,X,E,,,,,,
TR,CC,B,TA,N>B>A,E>H,,,,,,
TA,CC,D,YU,N>B>A,H,,,,,,
TR,CW,S,TA,X,E,,,,,,
TA,CC,S,AL,X,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
TA,CC,B,TR,A,E,,,,,,
TR,CC,S,TA,B,E,,,,,,
AL,CC,S,TR,N>B,L,,,,,,
TA,CC,D,YU,B>N>A,H,,,,,,
YU,CW,S,AL,N>B>A,H,,,,,,
TR,CC,B,YU,B,E,,,,,,
AL,CC,S,YU,B,L,TR,B,L,,,
TR,CC,D,Nandi,B>N>A,E,,,,,,
TR,CW,B,YU,X,E,,,,,,
TA,CC,S,YU,B,E,,,,,,
TR,CC,B,TA,B,H,,,,,,
TA,CC,B,YU,B>N>A,L,,,,,,
YU,CW,S,TA,X,L,,,,,,
TR,CW,D,AL,X,H,,,,,,
AL,CC,S,TR,X,L,,,,,,
TA,CC,D,,B>N>A,H,,,,,,
TA,CC,D,AL,B>N>A,H,,,,,,
TA,CC,D,AL,B,H,,,,,,
TA,CW,S,TR,X,,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CC,D,TR,B,H,,,,,,
TR,CC,B,TA,B,E,,,,,,
AL,CW,S,TA,B,L,,,,,,
AL,CC,S,TA,A,L,TR,B,E>L,,,
YU,CW,S,AL,A,E,TA,B,L,,,
TA,CC,VD,TR,B,H,,,,,,
TA,CC,D,YU,A,H,,,,,,
AL,CW,S,AL,A,L,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,A,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TR,B,L,,,,,,
AL,CW,S,TA,B,E,,,,,,
TA,CW,S,AL,A,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,S,YU,A,E,,,,,,
TR,CW,S,AL,B,,,,,,,
AL,CW,S,TR,B,,,,,,,
TA,CW,S,AL,B,,,,,,,
TA,CW,B,TR,A,H,,,,,,
AL,CW,S,TA,A,E,,,,,,
TA,CW,B,AL,B,E,,,,,,
TR,CW,B,TA,N,,,,,,,
AL,CC,S,YU,B>N>A,E,,,,,,
YU,CW,S,YU,B>N>A,,,,,,,
AL,CW,S,TA,E,A,,,,,,
TR,CC,B,YU,B>N>A,L,,,,,,
AL,CC,S,YU,E,B,,,,,,
YU,CW,S,TA,X,L,,,,,,
TR,CC,B,TA,X,H,AL,X,H,,,
TA,CW,S,YU,X,E,,,,,,
YU,CW,S,AL,B>N>A,E,,,,,,
AL,CC,S,TR,B,L,,,,,,
AL,CC,S,TA,X,E,,,,,,
YU,CW,S,TR,X,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
TR,CC,B,YU,B,L,,,,,,
TR,CW,D,YU,H,X,,,,,,
AL,CC,S,YU,B,E,,,,,,
YU,CW,S,TA,B,L,,,,,,
TA,CC,D,YU,N,H,AL,B,H,,,
TR,CC,S,YU,A,E,,,,,,
TR,CC,D,AL,X,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
AL,CW,S,TA,N>A,E,TR,X,E,,,
AL,CW,S,TA,B,E,,,,,,
AL,CC,S,TA,B,L,,,,,,
YU,CW,S,TR,N>B,E,,,,,,
TR,CC,S,YU,B,E,,,,,,
YU,CW,S,TA,N>B,E,AL,B,E,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,B,YU,X,H,,,H,,,
AL,CW,S,TA,N>A,E,,,,,,
TR,CC,S,YU,N,E,,,,,,
TA,CW,S,AL,,,,,,,,
TR,CC,S,YU,,E,,,,,,
YU,CW,S,TA,X,L,,,,,,
YU,CW,S,AL,A,H,,,,,,
AL,CC,S,,X,L,,,,,,
AL,CW,S,TA,B,E,TR,X,E,,,
TA,CW,S,AL,B,E,,,,,,
AL,CC,S,YU,B,L,,,,,,
TR,CC,S,YU,N>A,E,,,,,,
TR,CC,S,YU,B,E>H,,,,,,
AL,CC,S,TR,B,E,,,,,,
AL,CC,S,TR,X,L,,,,,,
TA,CW,S,AL,B,H,,,,,,
TR,CC,D,TA,X,H,,,,,,
AL,CW,S,TR,X,L,TA,B,E,,,
YU,CW,S,TR,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
YU,CW,S,TR,B,E,,,,,,
TR,CW,S,AL,A>N>B,E,,,,,,
AL,CW,S,TR,B>N>A,E,,,,,,
TA,CW,B,AL,B,E,,,,,,
YU,CW,B,TR,X,E,,,,,,
TR,CC,B,TA,B,E,,,,,,
TR,CC,S,TA,X,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
YU,CW,S,TR,B,E,,,,,,
YU,CW,S,TR,N,E,,,,,,
AL,CW,S,TR,B,L,,,,,,
YU,CW,B,TA,B,E,,,,,,
YU,CW,B,AL,A,H,,,,,,
AL,CW,B,YU,A,H,,,,,,
YU,CW,B,TA,B,E,,,,,,
YU,CW,B,TA,N,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
TR,CC,S,YU,B,E,,,,,,
YU,CW,S,TA,A>N,E,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CC,S,YU,N,L,,,,,,
TR,CW,B,TA,X,E,,,,,,
TA,CC,D,YU,N,H,,,,,,
AL,CW,S,TR,X,L,,,,,,
TA,CW,S,TA,X,E,,,,,,
TA,CW,S,TR,X,L,,,,,,
YU,CW,S,TR,X,L,,,,,,
TR,CC,D,TA,B,H,,,,,,
TA,CW,S,AL,X,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
TR,CW,S,TA,B,E,YU,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CC,S,YU,B,H,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CC,S,AL,B,H,,,,,,
AL,CC,S,YU,N,E,,,,,,
TR,CC,B,YU,B,E,,,,,,
YU,CW,D,AL,N,H,,,,,,
TA,CW,S,TR,X,E,,,,,,
TR,CW,B,YU,A,H,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TA,B,L,,,,,,
TR,CW,D,AL,A,H,,,,,,
TR,CW,D,AL,A,H,,,,,,
AL,CW,S,TR,X,L,,,,,,
TA,CW,S,AL,B,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
TR,CW,S,TA,X,H,,,,,,
AL,CW,S,TA,A,H,,,,,,
AL,CW,S,YU,X,E,TR,B,E,,,
AL,CW,S,TA,X,E,,,,,,
TA,CC,B,AL,A,H,,,,,,
TR,CC,S,AL,X,E,,,,,,
TR,CC,S,AL,X,E,,,,,,
TR,CW,D,YU,B,H,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CC,B,AL,N,E,,,,,,
TA,CC,S,AL,X,E,,,,,,
YU,CW,S,TR,N,L,,,,,,
AL,CW,B,TA,X,H,,,,,,
AL,CW,S,TA,X,E,,,,,,
YU,CW,B,TA,A,H,,,,,,
AL,CW,S,TA,X,E,,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CW,S,TR,X,E,,,,,,
TR,CW,S,AL,B,H,TA,X,H,,,
TR,CC,B,YU,N,H,,,,,,
AL,CW,S,TR,B,L,YU,X,E,,,
AL,CW,S,TR,N,L,,,,,,
TA,CC,B,AL,N,H,,,,,,
AL,CW,S,TR,N,L,,,,,,
AL,CW,S,TR,N,L,,,,,,
AL,CW,S,TA,A,E,TR,B,L,,,
YU,CW,S,TA,N,E,,,,,,
AL,CW,S,TA,B,H,YU,X,H,,,
AL,CW,S,TR,N,E,,,,,,
YU,CW,S,AL,X,E,,,,,,
TR,CW,S,AL,B,E,,,,,,
TA,CW,S,TR,X,L,,,,,,
YU,CW,S,AL,N,E,,,,,,
TA,CC,B,YU,A,E,,,,,,
TA,CC,S,TA,B,E,,,,,,
AL,CW,S,TR,X,E,,,,,,
TA,CW,S,TR,B,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
YU,CW,S,TA,X,,,,,,,
TR,CW,S,TA,A,E,YU,X,E,,,
TA,CC,B,AL,B,H,,,,,,
YU,CW,B,AL,N,H,,,,,,
AL,CW,S,YU,X,E,,,,,,
AL,CW,S,TA,E,A,,,,,,
AL,CC,S,TA,B>N>A,E,,,,,,
AL,CW,S,TR,X,L,,,,,,
AL,CW,S,TA,X,E,,,,,,
TA,CC,S,AL,X,E,,,,,,
YU,CW,S,TA,E,B,,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CC,S,YU,A,E,,,,,,
TA,CW,S,AL,A,L,,,,,,
AL,CW,S,TR,A,L,,,,,,
AL,CW,B,TR,A,L,,,,,,
YU,CW,S,TA,A,E,,,,,,
AL,CW,S,YU,A,E,,,,,,
AL,CW,S,YU,A,E,,,,,,
AL,CW,S,YU,X,E,,,,,,
TA,CW,S,YU,X,E,,,,,,
TR,CC,B,TA,X,H,,,,,,
YU,CW,S,TR,A,E,,,,,,
TA,CC,D,AL,A>B,H,,,,,,
AL,CC,B,TA,B,L,,,,,,
AL,CC,B,YU,B,L,,,,,,
YU,CW,S,TA,B,L,,,,,,
YU,CW,S,TA,A,E,,,,,,
TA,CC,S,YU,B,E,,,,,,
YU,CW,S,TR,X,E,,,,,,
TR,CC,B,YU,B>A,L,,,,,,
TA,CC,S,TR,A,L,,,,,,
AL,CC,S,YU,B>A,E,,,,,,
TA,CW,D,TR,A,E,,,,,,
TR,CC,S,AL,X,,,,,,,
AL,CW,S,TA,B,E,,,,,,
AL,CW,S,TR,X,H,,,,,,
TR,CW,S,TA,B,E,,,,,,
TR,CC,S,TA,X,L,,,,,,
TA,CW,D,TR,X,H,,,,,,
AL,CC,S,YU,N,L,,,,,,
TR,CW,S,TR,X,H,,,,,,
TA,CC,D,YU,N>A,H,,,,,,
AL,CC,S,YU,B,D,,,,,,
TR,CW,B,YU,A,H,,,,,,
AL,CW,S,YU,A,E,,,,,,
AL,CW,S,YU,A,E,,,,,,
TR,CW,S,YU,A,E,,,,,,
AL,CW,B,YU,A,E,,,,,,
TR,CW,S,YU,A,E,,,,,,
TA,CC,B,AL,X,,,,,,,
YU,CW,B,AL,X,E,,,,,,
TR,CW,S,TA,B>N>A,L,,,,,,
TR,CW,S,AL,B,,,,,,,
AL,CW,S,TR,X,,,,,,,
AL,CW,S,TR,B,,,,,,,
TA,CW,B,AL,B,,,,,,,
AL,CW,B,TA,B,YES,,,,,,
AL,CW,B,YU,X,YES,,,,,,
TA,CW,B,YU,X,YES,,,,,,
AL,CW,B,TR,B>N>A,L,,,,,,
AL,CW,S,TR,N,L,,,,,,
TR,CW,B,TA,B,,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TR,CW,S,TA,B,YES,,,,,,
AL,CW,S,TA,X,YES,YU,X,YES,,,
YU,CW,B,AL,X,,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TR,CW,S,YU,X,YES,,,,,,
TR,CW,D,AL,B,,,,,,,
YU,CW,S,AL,X,INSIDE,,,,,,
AL,CW,B,AL,X,YES,,,,,,
TA,CW,S,YU,X,A,,,,,,
AL,CW,S,TA,B>A,E,YU,X,H,,,
AL,CW,S,TA,A,,,,,,,
YU,CW,B,TR,X,?,TA,B,E,,,
AL,CW,S,YU,X,L,,,,,,
YU,CW,B,TA,X,L,,,,,,
AL,CW,S,TR,X,H,,,,,,
TA,CW,B,YU,X,E,,,,,,
AL,CW,S,YU,X,E,TR,X,L,,,
YU,CW,D,AL,X,,,,,,,
TR,CC,D,TA,X,,,,,,,
YU,CW,B,TA,X,,,,,,,
YU,CW,D,AL,X,,,,,,,
YU,CW,B,AL,X,,,,,,,
TR,CC,B,YU,,L,,,,,,
AL,CW,S,TA,N,,,,,,,
AL,CW,S,TA,X,L,TR,X,L,,,
AL,CW,S,TA,X,L,,,,,,
AL,CW,S,TA,X,L,,,,,,
TR,CW,S,YU,X,L,,,,,,
AL,CW,S,TR,A,L,YU,X,?,,,
AL,CW,S,TR,X,L,,,,,,
TA,CW,S,AL,A,H,TR,X,E,,,
TA,CW,S,YU,X,E,AL,X,E,,,
AL,CC,S,YU,B,E,AL,,,,,
AL,CW,S,YU,X,E,,,,,,
TR,CW,S,TA,X,L,,,,,,
AL,CW,S,YU,X,YES,,,,,,
TA,CC,S,TR,X,E,,,,,,
TR,CC,B,YU,B,L,,,,,,
TA,CC,B,AL,X,H,,,,,,
TR,CW,D,YU,X,H,,,,,,
YU,CW,B,AL,X,H,,,,,,
AL,CC,S,TR,B,L,,,,,,
YU,CW,D,TA,X,H,,,,,,
TA,CW,D,TR,X,D,,,,,,
TA,CW,S,TR,X,D,,,,,,
AL,CC,B,TA,N,E,,,,,,
AL,CW,B,TA,A,L,,,,,,
AL,CC,S,YU,A,L,,,,,,
YU,CW,D,AL,B,H,,,,,,
AL,CC,B,YU,B,L,,,,,,
AL,CW,B,TA,X,E,,,,,,
YU,CW,B,TR,A>B,L,,,,,,
AL,CW,S,TR,X,D,,,,,,
AL,CW,S,TR,X,L,,,,,,
YU,CW,B,TR,X,L,,,,,,
TR,CC,S,YU,E,H,,,,,,
YU,CW,B,TA,X,E,,,,,,
TA,CC,D,YU,B>A,H,,,,,,
AL,CC,S,TR,X,L,,,,,,
TR,CW,B,AL,X,H,,,,,,
TA,CC,D,YU,B>A,H,,,,,,
YU,CW,S,TA,A>B,L,,,,,,
AL,CW,S,YU,X,E,,,,,,
YU,CW,S,TR,X,E,,,,,,
TR,CC,B,YU,A,H,,,,,,
YU,CW,S,TR,B,L,,,,,,
AL,CW,S,TR,B,E,YU,X,E,,,
YU,CW,B,AL,H,A,,,,,,
AL,CC,S,YU,L,B,,,,,,
AL,CW,B,YU,X,E,,,,,,
AL,CW,S,TR,X,H,,,,,,
AL,CW,B,TA,X,E,TR,X,E,,,
AL,CW,B,TA,B,E,,,,,,
YU,CW,S,TA,X,E,,,,,,
YU,CW,S,TR,X,L,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,S,TA,B,E,,,,,,
YU,CW,S,TR,B,L,,,,,,
AL,CW,S,TR,X,L,,,,,,
TA,CC,S,AL,A,E,,,,,,
AL,CC,S,TA,B,E,,,,,,
AL,CC,D,YU,X,H,,,,,,
